path,verdict,detail,samplerate,cutoff_hz,nyquist_hz,slope_db_per_khz
/home/adam/driveBig/Music/New unformated songs/08  - Far Out.flac,GRADUAL_ROLLOFF,"rolloff at ~15725Hz but gentle (1.7dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,15725,22050,1.7
/home/adam/driveBig/Music/New unformated songs/08 - Razz (Original Mix) - Kings Of Leon.flac,GRADUAL_ROLLOFF,"rolloff at ~17426Hz but gentle (3.1dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,17426,22050,3.1
/home/adam/driveBig/Music/New unformated songs/08 The Song of Admiral General Sargeant Aladeen (feat. Omar Fadel).flac,SUSPECT,"hard cutoff at ~19504Hz, steep 33.4dB/kHz -> likely transcoded from 256/224kbps MP3/AAC",44100,19504,22050,33.4
/home/adam/driveBig/Music/New unformated songs/09  - To the End.flac,GRADUAL_ROLLOFF,"rolloff at ~19245Hz but gentle (4.1dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,19245,22050,4.1
/home/adam/driveBig/Music/New unformated songs/09 - Day Old Blues (Original Mix) - Kings Of Leon.flac,GRADUAL_ROLLOFF,"rolloff at ~14616Hz but gentle (2.1dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,14616,22050,2.1
/home/adam/driveBig/Music/New unformated songs/09 Let's Get It On.flac,SUSPECT,"hard cutoff at ~19407Hz, steep 25.7dB/kHz -> likely transcoded from 192kbps MP3",44100,19407,22050,25.7
/home/adam/driveBig/Music/New unformated songs/10  - London Loves.flac,GRADUAL_ROLLOFF,"rolloff at ~15030Hz but gentle (0.2dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,15030,22050,0.2
/home/adam/driveBig/Music/New unformated songs/10 - Four Kicks (Original Mix) - Kings Of Leon.flac,GRADUAL_ROLLOFF,"rolloff at ~19558Hz but gentle (3.4dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,19558,22050,3.4
/home/adam/driveBig/Music/New unformated songs/10 Raoui.flac,SUSPECT,"hard cutoff at ~19321Hz, steep 20.5dB/kHz -> likely transcoded from 192kbps MP3",44100,19321,22050,20.5
/home/adam/driveBig/Music/New unformated songs/11  - Trouble in the Message Centre.flac,GRADUAL_ROLLOFF,"rolloff at ~13577Hz but gentle (2.5dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,13577,22050,2.5
/home/adam/driveBig/Music/New unformated songs/11 - Velvet Snow (Original Mix) - Kings Of Leon.flac,GRADUAL_ROLLOFF,"rolloff at ~18879Hz but gentle (1.8dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,18879,22050,1.8
/home/adam/driveBig/Music/New unformated songs/11 Money's On the Dresser (feat. Jules Brookes) [Explicit].flac,SUSPECT,"hard cutoff at ~19434Hz, steep 28.2dB/kHz -> likely transcoded from 192kbps MP3",44100,19434,22050,28.2
/home/adam/driveBig/Music/New unformated songs/12  - Clover Over Dover.flac,GRADUAL_ROLLOFF,"rolloff at ~16484Hz but gentle (4.5dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,16484,22050,4.5
/home/adam/driveBig/Music/New unformated songs/12 - Rememo (Original Mix) - Kings Of Leon.flac,GRADUAL_ROLLOFF,"rolloff at ~15477Hz but gentle (0.8dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,15477,22050,0.8
/home/adam/driveBig/Music/New unformated songs/12 Our Beloved Leader [Explicit].flac,SUSPECT,"hard cutoff at ~19014Hz, steep 21.2dB/kHz -> likely transcoded from 192kbps MP3",44100,19014,22050,21.2
/home/adam/driveBig/Music/New unformated songs/13  - Magic America.flac,GRADUAL_ROLLOFF,"rolloff at ~16204Hz but gentle (2.9dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,16204,22050,2.9
/home/adam/driveBig/Music/New unformated songs/13 - Where Nobody Knows (Original Mix) - Kings Of Leon.flac,GRADUAL_ROLLOFF,"rolloff at ~18895Hz but gentle (0.9dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,18895,22050,0.9
/home/adam/driveBig/Music/New unformated songs/14  - Jubilee.flac,GRADUAL_ROLLOFF,"rolloff at ~16236Hz but gentle (1.8dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,16236,22050,1.8
/home/adam/driveBig/Music/New unformated songs/15  - This Is a Low.flac,GRADUAL_ROLLOFF,"rolloff at ~15628Hz but gentle (1.7dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,15628,22050,1.7
/home/adam/driveBig/Music/New unformated songs/16  - Lot 105.flac,GRADUAL_ROLLOFF,"rolloff at ~15622Hz but gentle (2.7dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,15622,22050,2.7
/home/adam/driveBig/Music/New unformated songs/3rd Secret - 3rd Secret (2022) [FLAC] [16B-44100kHz]/01. 3rd Secret - Rhythm of the Ride.flac,SUSPECT,"hard cutoff at ~16505Hz, steep 20.3dB/kHz -> likely transcoded from 128kbps MP3",44100,16505,22050,20.3
/home/adam/driveBig/Music/New unformated songs/3rd Secret - 3rd Secret (2022) [FLAC] [16B-44100kHz]/02. 3rd Secret - I Choose Me.flac,SUSPECT,"hard cutoff at ~16634Hz, steep 29.4dB/kHz -> likely transcoded from 128kbps MP3",44100,16634,22050,29.4
/home/adam/driveBig/Music/New unformated songs/3rd Secret - 3rd Secret (2022) [FLAC] [16B-44100kHz]/03. 3rd Secret - Last Day of August.flac,SUSPECT,"hard cutoff at ~16677Hz, steep 22.8dB/kHz -> likely transcoded from 128kbps MP3",44100,16677,22050,22.8
/home/adam/driveBig/Music/New unformated songs/3rd Secret - 3rd Secret (2022) [FLAC] [16B-44100kHz]/04. 3rd Secret - Winter Solstice.flac,SUSPECT,"hard cutoff at ~16527Hz, steep 25.0dB/kHz -> likely transcoded from 128kbps MP3",44100,16527,22050,25
/home/adam/driveBig/Music/New unformated songs/3rd Secret - 3rd Secret (2022) [FLAC] [16B-44100kHz]/05. 3rd Secret - Lies Fade Away.flac,SUSPECT,"hard cutoff at ~16527Hz, steep 22.2dB/kHz -> likely transcoded from 128kbps MP3",44100,16527,22050,22.2
/home/adam/driveBig/Music/New unformated songs/3rd Secret - 3rd Secret (2022) [FLAC] [16B-44100kHz]/06. 3rd Secret - Live Without You.flac,SUSPECT,"hard cutoff at ~16629Hz, steep 26.3dB/kHz -> likely transcoded from 128kbps MP3",44100,16629,22050,26.3
/home/adam/driveBig/Music/New unformated songs/3rd Secret - 3rd Secret (2022) [FLAC] [16B-44100kHz]/07. 3rd Secret - Right Stuff.flac,SUSPECT,"hard cutoff at ~16527Hz, steep 25.6dB/kHz -> likely transcoded from 128kbps MP3",44100,16527,22050,25.6
/home/adam/driveBig/Music/New unformated songs/3rd Secret - 3rd Secret (2022) [FLAC] [16B-44100kHz]/08. 3rd Secret - Dead Sea.flac,SUSPECT,"hard cutoff at ~16532Hz, steep 23.6dB/kHz -> likely transcoded from 128kbps MP3",44100,16532,22050,23.6
/home/adam/driveBig/Music/New unformated songs/3rd Secret - 3rd Secret (2022) [FLAC] [16B-44100kHz]/09. 3rd Secret - Diamond in the Cold.flac,SUSPECT,"hard cutoff at ~16699Hz, steep 30.3dB/kHz -> likely transcoded from 128kbps MP3",44100,16699,22050,30.3
/home/adam/driveBig/Music/New unformated songs/3rd Secret - 3rd Secret (2022) [FLAC] [16B-44100kHz]/10. 3rd Secret - Somewhere in Time.flac,SUSPECT,"hard cutoff at ~16683Hz, steep 31.1dB/kHz -> likely transcoded from 128kbps MP3",44100,16683,22050,31.1
/home/adam/driveBig/Music/New unformated songs/3rd Secret - 3rd Secret (2022) [FLAC] [16B-44100kHz]/11. 3rd Secret - The Yellow Dress.flac,SUSPECT,"hard cutoff at ~16715Hz, steep 29.3dB/kHz -> likely transcoded from 128kbps MP3",44100,16715,22050,29.3
/home/adam/driveBig/Music/New unformated songs/Alice In Chains - Dirt (2022 Remaster) (1992) [FLAC] [16B-44100kHz]/01. Alice In Chains - Them Bones (2022 Remaster).flac,SUSPECT,"hard cutoff at ~16758Hz, steep 31.7dB/kHz -> likely transcoded from 128kbps MP3",44100,16758,22050,31.7
/home/adam/driveBig/Music/New unformated songs/Alice In Chains - Dirt (2022 Remaster) (1992) [FLAC] [16B-44100kHz]/02. Alice In Chains - Dam That River (2022 Remaster).flac,SUSPECT,"hard cutoff at ~16715Hz, steep 31.2dB/kHz -> likely transcoded from 128kbps MP3",44100,16715,22050,31.2
/home/adam/driveBig/Music/New unformated songs/Alice In Chains - Dirt (2022 Remaster) (1992) [FLAC] [16B-44100kHz]/03. Alice In Chains - Rain When I Die (2022 Remaster).flac,SUSPECT,"hard cutoff at ~16688Hz, steep 33.4dB/kHz -> likely transcoded from 128kbps MP3",44100,16688,22050,33.4
/home/adam/driveBig/Music/New unformated songs/Alice In Chains - Dirt (2022 Remaster) (1992) [FLAC] [16B-44100kHz]/04. Alice In Chains - Down In A Hole (2022 Remaster).flac,SUSPECT,"hard cutoff at ~16721Hz, steep 28.2dB/kHz -> likely transcoded from 128kbps MP3",44100,16721,22050,28.2
/home/adam/driveBig/Music/New unformated songs/Alice In Chains - Dirt (2022 Remaster) (1992) [FLAC] [16B-44100kHz]/05. Alice In Chains - Sickman (2022 Remaster).flac,SUSPECT,"hard cutoff at ~16699Hz, steep 26.4dB/kHz -> likely transcoded from 128kbps MP3",44100,16699,22050,26.4
/home/adam/driveBig/Music/New unformated songs/Alice In Chains - Dirt (2022 Remaster) (1992) [FLAC] [16B-44100kHz]/06. Alice In Chains - Rooster (2022 Remaster).flac,SUSPECT,"hard cutoff at ~16747Hz, steep 26.6dB/kHz -> likely transcoded from 128kbps MP3",44100,16747,22050,26.6
/home/adam/driveBig/Music/New unformated songs/Alice In Chains - Dirt (2022 Remaster) (1992) [FLAC] [16B-44100kHz]/07. Alice In Chains - Junkhead (2022 Remaster).flac,SUSPECT,"hard cutoff at ~16677Hz, steep 29.2dB/kHz -> likely transcoded from 128kbps MP3",44100,16677,22050,29.2
/home/adam/driveBig/Music/New unformated songs/Alice In Chains - Dirt (2022 Remaster) (1992) [FLAC] [16B-44100kHz]/08. Alice In Chains - Dirt (2022 Remaster).flac,SUSPECT,"hard cutoff at ~16747Hz, steep 26.8dB/kHz -> likely transcoded from 128kbps MP3",44100,16747,22050,26.8
/home/adam/driveBig/Music/New unformated songs/Alice In Chains - Dirt (2022 Remaster) (1992) [FLAC] [16B-44100kHz]/09. Alice In Chains - God Smack (2022 Remaster).flac,SUSPECT,"hard cutoff at ~16597Hz, steep 25.6dB/kHz -> likely transcoded from 128kbps MP3",44100,16597,22050,25.6
/home/adam/driveBig/Music/New unformated songs/Alice In Chains - Dirt (2022 Remaster) (1992) [FLAC] [16B-44100kHz]/10. Alice In Chains - Untitled (2022 Remaster).flac,SUSPECT,"hard cutoff at ~16554Hz, steep 25.6dB/kHz -> likely transcoded from 128kbps MP3",44100,16554,22050,25.6
/home/adam/driveBig/Music/New unformated songs/Alice In Chains - Dirt (2022 Remaster) (1992) [FLAC] [16B-44100kHz]/11. Alice In Chains - Hate To Feel (2022 Remaster) (Explicit).flac,SUSPECT,"hard cutoff at ~16715Hz, steep 28.2dB/kHz -> likely transcoded from 128kbps MP3",44100,16715,22050,28.2
/home/adam/driveBig/Music/New unformated songs/Alice In Chains - Dirt (2022 Remaster) (1992) [FLAC] [16B-44100kHz]/12. Alice In Chains - Angry Chair (2022 Remaster).flac,SUSPECT,"hard cutoff at ~16721Hz, steep 28.8dB/kHz -> likely transcoded from 128kbps MP3",44100,16721,22050,28.8
/home/adam/driveBig/Music/New unformated songs/Alice In Chains - Dirt (2022 Remaster) (1992) [FLAC] [16B-44100kHz]/13. Alice In Chains - Would (2022 Remaster).flac,SUSPECT,"hard cutoff at ~16758Hz, steep 29.9dB/kHz -> likely transcoded from 128kbps MP3",44100,16758,22050,29.9
/home/adam/driveBig/Music/New unformated songs/Alison Mosshart - It Ain't Water (2020) [FLAC] [16B-44100kHz]/01. Alison Mosshart - It Ain't Water.flac,SUSPECT,"hard cutoff at ~16468Hz, steep 21.0dB/kHz -> likely transcoded from 128kbps MP3",44100,16468,22050,21
/home/adam/driveBig/Music/New unformated songs/Alison Mosshart - It Ain't Water (2020) [FLAC] [16B-44100kHz]/02. Alison Mosshart - Rise.flac,SUSPECT,"hard cutoff at ~16026Hz, steep 22.2dB/kHz -> likely transcoded from 128kbps MP3",44100,16026,22050,22.2
/home/adam/driveBig/Music/New unformated songs/Ally Nicholas - All Summer Long (2023) [FLAC] [16B-44100kHz]/01. Ally Nicholas - All Summer Long (Explicit).flac,SUSPECT,"hard cutoff at ~16785Hz, steep 25.3dB/kHz -> likely transcoded from 128kbps MP3",44100,16785,22050,25.3
/home/adam/driveBig/Music/New unformated songs/Ally Nicholas - Bored (2024) [FLAC] [16B-44100kHz]/01. Ally Nicholas - Bored.flac,SUSPECT,"hard cutoff at ~16710Hz, steep 25.0dB/kHz -> likely transcoded from 128kbps MP3",44100,16710,22050,25
/home/adam/driveBig/Music/New unformated songs/Ally Nicholas - Bullets (2024) [FLAC] [16B-44100kHz]/01. Ally Nicholas - Bullets.flac,SUSPECT,"hard cutoff at ~16516Hz, steep 18.3dB/kHz -> likely transcoded from 128kbps MP3",44100,16516,22050,18.3
/home/adam/driveBig/Music/New unformated songs/Ally Nicholas - Fall Into (2023) [FLAC] [16B-44100kHz]/01. Ally Nicholas - Fall Into.flac,SUSPECT,"hard cutoff at ~16624Hz, steep 19.9dB/kHz -> likely transcoded from 128kbps MP3",44100,16624,22050,19.9
/home/adam/driveBig/Music/New unformated songs/Ally Nicholas - Feels Like Dying (2024) [FLAC] [16B-44100kHz]/01. Ally Nicholas - Feels Like Dying.flac,SUSPECT,"hard cutoff at ~16796Hz, steep 29.2dB/kHz -> likely transcoded from 128kbps MP3",44100,16796,22050,29.2
/home/adam/driveBig/Music/New unformated songs/Ally Nicholas - I Know You Too Well (2023) [FLAC] [16B-44100kHz]/01. Ally Nicholas - I Know You Too Well.flac,SUSPECT,"hard cutoff at ~16564Hz, steep 22.7dB/kHz -> likely transcoded from 128kbps MP3",44100,16564,22050,22.7
/home/adam/driveBig/Music/New unformated songs/Ally Nicholas - Nevermind the Hurry (2025) [FLAC] [16B-44100kHz]/01. Ally Nicholas - Red.flac,SUSPECT,"hard cutoff at ~16694Hz, steep 27.2dB/kHz -> likely transcoded from 128kbps MP3",44100,16694,22050,27.2
/home/adam/driveBig/Music/New unformated songs/Ally Nicholas - Nevermind the Hurry (2025) [FLAC] [16B-44100kHz]/02. Ally Nicholas - Nevermind the Hurry.flac,SUSPECT,"hard cutoff at ~16607Hz, steep 23.0dB/kHz -> likely transcoded from 128kbps MP3",44100,16607,22050,23
/home/adam/driveBig/Music/New unformated songs/Ally Nicholas - Nevermind the Hurry (2025) [FLAC] [16B-44100kHz]/03. Ally Nicholas - Right.flac,SUSPECT,"hard cutoff at ~16521Hz, steep 19.6dB/kHz -> likely transcoded from 128kbps MP3",44100,16521,22050,19.6
/home/adam/driveBig/Music/New unformated songs/Ally Nicholas - Nevermind the Hurry (2025) [FLAC] [16B-44100kHz]/04. Ally Nicholas - Killing.flac,SUSPECT,"hard cutoff at ~16737Hz, steep 27.5dB/kHz -> likely transcoded from 128kbps MP3",44100,16737,22050,27.5
/home/adam/driveBig/Music/New unformated songs/Ally Nicholas - Nevermind the Hurry (2025) [FLAC] [16B-44100kHz]/05. Ally Nicholas - I Wanna Believe.flac,SUSPECT,"hard cutoff at ~16796Hz, steep 32.6dB/kHz -> likely transcoded from 128kbps MP3",44100,16796,22050,32.6
/home/adam/driveBig/Music/New unformated songs/Ally Nicholas - Seventeen (2023) [FLAC] [16B-44100kHz]/01. Ally Nicholas - Seventeen.flac,SUSPECT,"hard cutoff at ~16704Hz, steep 25.9dB/kHz -> likely transcoded from 128kbps MP3",44100,16704,22050,25.9
/home/adam/driveBig/Music/New unformated songs/Ally Nicholas - Warning Signs (2024) [FLAC] [16B-44100kHz]/01. Ally Nicholas - Warning Signs.flac,SUSPECT,"hard cutoff at ~16699Hz, steep 29.0dB/kHz -> likely transcoded from 128kbps MP3",44100,16699,22050,29
/home/adam/driveBig/Music/New unformated songs/Ally Nicholas - Whisper (2025) [FLAC] [16B-44100kHz]/01. Ally Nicholas - Whisper.flac,SUSPECT,"hard cutoff at ~16672Hz, steep 27.8dB/kHz -> likely transcoded from 128kbps MP3",44100,16672,22050,27.8
/home/adam/driveBig/Music/New unformated songs/An Awesome Wave (Deluxe Version)/01 alt-J - Intro.flac,SUSPECT,"hard cutoff at ~20812Hz, steep 20.6dB/kHz -> likely transcoded from 320kbps (or near-transparent) MP3/lossy",44100,20812,22050,20.6
/home/adam/driveBig/Music/New unformated songs/An Awesome Wave (Deluxe Version)/02 alt-J - Interlude I (The Ripe & Ruin).flac,GRADUAL_ROLLOFF,"rolloff at ~20241Hz but gentle (10.7dB/kHz) - could be an old master/analog source, not necessarily transcoded",44100,20241,22050,10.7
/home/adam/driveBig/Music/New unformated songs/An Awesome Wave (Deluxe Version)/03 alt-J - Tessellate.flac,SUSPECT,"hard cutoff at ~20855Hz, steep 21.0dB/kHz -> likely transcoded from 320kbps (or near-transparent) MP3/lossy",44100,20855,22050,21
/home/adam/driveBig/Music/New unformated songs/An Awesome Wave (Deluxe Version)/04 alt-J - Breezeblocks.flac,SUSPECT,"hard cutoff at ~20790Hz, steep 17.4dB/kHz -> likely transcoded from 256/224kbps MP3/AAC",44100,20790,22050,17.4
/home/adam/driveBig/Music/New unformated songs/An Awesome Wave (Deluxe Version)/05 alt-J - Interlude II.flac,SUSPECT,"hard cutoff at ~20591Hz, steep 13.8dB/kHz -> likely transcoded from 256/224kbps MP3/AAC",44100,20591,22050,13.8
/home/adam/driveBig/Music/New unformated songs/An Awesome Wave (Deluxe Version)/06 alt-J - Something Good.flac,SUSPECT,"hard cutoff at ~20839Hz, steep 18.7dB/kHz -> likely transcoded from 320kbps (or near-transparent) MP3/lossy",44100,20839,22050,18.7
/home/adam/driveBig/Music/New unformated songs/An Awesome Wave (Deluxe Version)/07 alt-J - Dissolve Me.flac,SUSPECT,"hard cutoff at ~20833Hz, steep 18.4dB/kHz -> likely transcoded from 320kbps (or near-transparent) MP3/lossy",44100,20833,22050,18.4
/home/adam/driveBig/Music/New unformated songs/An Awesome Wave (Deluxe Version)/08 alt-J - Matilda.flac,SUSPECT,"hard cutoff at ~20742Hz, steep 17.1dB/kHz -> likely transcoded from 256/224kbps MP3/AAC",44100,20742,22050,17.1
/home/adam/driveBig/Music/New unformated songs/An Awesome Wave (Deluxe Version)/09 alt-J - Ms.flac,SUSPECT,"hard cutoff at ~20591Hz, steep 14.9dB/kHz -> likely transcoded from 256/224kbps MP3/AAC",44100,20591,22050,14.9
